person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
23,74196,RENT,2,EDUCATION,B,18500,11.26,0,0.25,N,3
25,75000,RENT,0,EDUCATION,A,18500,7.49,0,0.25,N,3
24,73000,RENT,0,HOMEIMPROVEMENT,A,18500,7.9,1,0.25,N,2
22,24000,OWN,5,MEDICAL,B,8000,9.91,0,0.33,N,2
21,24000,MORTGAGE,0,VENTURE,A,3000,7.9,0,0.13,N,4
24,78000,RENT,1,VENTURE,F,18500,15.33,1,0.24,N,2
26,145000,RENT,3,EDUCATION,C,18500,12.87,0,0.13,Y,3
22,24000,MORTGAGE,5,EDUCATION,A,5000,7.9,0,0.21,N,2
22,48888,RENT,1,PERSONAL,C,18400,13.16,1,0.38,N,2
22,50000,RENT,2,DEBTCONSOLIDATION,B,18400,9.99,1,0.37,N,2
23,120000,RENT,7,PERSONAL,A,18400,8.9,0,0.15,N,2
22,24000,MORTGAGE,1,VENTURE,C,5000,14.65,1,0.21,N,4
25,24000,MORTGAGE,0,DEBTCONSOLIDATION,C,6000,13.49,0,0.25,Y,3
22,34000,RENT,0,VENTURE,B,18250,10.25,1,0.54,N,3
24,35004,RENT,3,PERSONAL,B,18250,11.49,1,0.52,N,4
25,34500,RENT,1,VENTURE,E,18250,17.04,1,0.53,N,3
23,42504,RENT,0,MEDICAL,B,18250,10.25,1,0.43,N,3
22,24000,MORTGAGE,4,VENTURE,A,1300,5.42,0,0.05,N,3
22,36996,RENT,2,PERSONAL,D,18250,14.61,1,0.49,Y,2
24,45600,RENT,2,VENTURE,C,18250,13.35,1,0.4,N,4
25,24000,MORTGAGE,,DEBTCONSOLIDATION,A,5800,5.99,0,0.24,N,3
23,46000,RENT,6,PERSONAL,B,18250,10.75,1,0.4,N,2
25,46000,RENT,8,DEBTCONSOLIDATION,C,18250,14.26,1,0.4,N,3
25,55044,RENT,4,VENTURE,E,18250,17.56,1,0.33,N,2
25,49200,RENT,,VENTURE,D,18250,14.83,1,0.37,N,3
22,50000,RENT,6,DEBTCONSOLIDATION,E,18250,16.7,1,0.36,Y,3
23,50000,RENT,4,VENTURE,B,18225,10.74,1,0.36,N,2
26,44000,RENT,0,HOMEIMPROVEMENT,D,18225,14.91,1,0.41,N,4
24,36000,RENT,4,VENTURE,B,18200,8.88,1,0.51,N,4
25,36400,RENT,2,PERSONAL,B,18200,9.91,1,0.5,N,4
22,36000,RENT,6,DEBTCONSOLIDATION,B,18200,11.71,1,0.51,N,3
24,55000,RENT,4,EDUCATION,B,18200,10.99,1,0.33,N,2
23,27000,RENT,2,VENTURE,C,18000,11.54,1,0.67,Y,4
23,24000,OWN,2,EDUCATION,D,8000,15.62,0,0.33,N,2
23,33000,RENT,4,VENTURE,B,18000,9.91,1,0.55,N,4
21,36000,RENT,,PERSONAL,B,18000,9.88,1,0.5,N,3
21,30720,RENT,5,EDUCATION,C,18000,13.48,1,0.59,Y,4
23,39996,RENT,2,EDUCATION,B,18000,9.25,1,0.45,N,4
25,40000,RENT,2,MEDICAL,C,18000,13.11,1,0.45,Y,3
22,24000,MORTGAGE,2,DEBTCONSOLIDATION,B,5000,10.99,0,0.21,N,4
25,42000,RENT,3,VENTURE,A,18000,6.17,1,0.43,N,2
24,24000,MORTGAGE,3,MEDICAL,A,8000,5.99,0,0.33,N,4
24,24000,OWN,1,EDUCATION,A,2400,7.49,0,0.1,N,2
24,42765,RENT,9,DEBTCONSOLIDATION,C,18000,11.03,1,0.42,Y,2
24,43000,RENT,9,MEDICAL,A,18000,7.9,1,0.42,N,2
22,44000,RENT,7,EDUCATION,C,18000,13.57,1,0.41,Y,4
24,44000,RENT,6,VENTURE,B,18000,12.18,1,0.41,N,2
25,39000,RENT,3,MEDICAL,E,18000,17.19,1,0.46,N,3
22,46800,RENT,6,MEDICAL,C,18000,15.23,1,0.38,Y,2
22,48000,RENT,5,EDUCATION,B,18000,,1,0.38,N,2
24,42000,RENT,8,HOMEIMPROVEMENT,D,18000,14.46,1,0.43,Y,3
24,24000,OWN,5,VENTURE,A,4200,6.99,0,0.17,N,3
24,43400,RENT,2,DEBTCONSOLIDATION,E,18000,16.63,1,0.41,Y,2
24,50000,RENT,1,MEDICAL,B,18000,12.42,1,0.36,N,4
24,50000,RENT,4,VENTURE,A,18000,7.9,1,0.36,N,4
23,24000,MORTGAGE,2,MEDICAL,D,5000,15.99,1,0.21,Y,2
23,24000,OWN,,PERSONAL,B,4200,10.99,0,0.17,N,4
26,50000,RENT,5,EDUCATION,C,18000,13.11,1,0.36,N,3
22,50000,RENT,6,VENTURE,C,18000,13.79,1,0.36,N,2
22,24000,OWN,3,EDUCATION,B,2500,10.59,0,0.1,N,2
22,52000,RENT,6,EDUCATION,C,18000,,1,0.35,N,4
22,24000,OWN,1,MEDICAL,C,6000,12.68,0,0.25,Y,4
25,52000,RENT,2,VENTURE,C,18000,12.98,1,0.35,N,4
22,52000,RENT,1,VENTURE,C,18000,13.85,1,0.35,Y,4
25,52526,RENT,9,VENTURE,B,18000,12.21,1,0.34,N,2
22,46610,RENT,6,DEBTCONSOLIDATION,B,18000,10.71,1,0.39,N,3
24,48000,RENT,5,PERSONAL,A,18000,6.54,1,0.38,N,2
23,24000,OWN,0,PERSONAL,A,8000,5.79,0,0.33,N,3
25,55000,RENT,2,EDUCATION,C,18000,12.84,1,0.33,N,2
25,55344,RENT,2,HOMEIMPROVEMENT,B,18000,10.99,1,0.33,N,4
23,24000,MORTGAGE,5,MEDICAL,B,1375,11.11,1,0.06,N,4
24,56000,RENT,2,EDUCATION,C,18000,13.48,1,0.32,N,3
21,50000,RENT,2,EDUCATION,D,18000,14.74,1,0.36,N,2
25,58000,RENT,6,VENTURE,C,18000,,1,0.31,N,4
21,52240,RENT,5,MEDICAL,E,18000,19.69,1,0.34,N,2
26,53000,RENT,2,VENTURE,E,18000,17.19,1,0.34,Y,3
22,60000,RENT,3,EDUCATION,D,18000,16.32,0,0.3,N,4
22,60000,RENT,0,EDUCATION,B,18000,9.33,0,0.3,N,3
25,61500,RENT,1,EDUCATION,C,18000,13.23,0,0.29,Y,2
26,24000,MORTGAGE,10,MEDICAL,A,5000,7.66,1,0.21,N,3
22,62000,RENT,0,MEDICAL,C,18000,13.85,0,0.29,Y,4
23,24000,MORTGAGE,1,EDUCATION,B,5600,9.63,0,0.23,N,3
24,24000,OWN,2,VENTURE,A,10000,6.92,0,0.42,N,4
22,63000,RENT,0,VENTURE,B,18000,9.63,0,0.29,N,4
23,63000,RENT,1,EDUCATION,B,18000,10.99,0,0.29,N,3
23,63000,RENT,2,EDUCATION,C,18000,13.57,0,0.29,Y,3
25,65000,RENT,8,VENTURE,A,18000,,0,0.28,N,3
25,65000,RENT,9,HOMEIMPROVEMENT,C,18000,13.99,0,0.28,N,3
24,59000,RENT,1,HOMEIMPROVEMENT,D,18000,14.96,1,0.31,Y,4
25,65000,RENT,8,HOMEIMPROVEMENT,C,18000,,0,0.28,N,3
26,59000,RENT,2,VENTURE,E,18000,16,1,0.31,N,4
26,60000,RENT,2,HOMEIMPROVEMENT,D,18000,16.29,1,0.3,Y,2
25,66000,RENT,9,EDUCATION,B,18000,10.25,0,0.27,N,3
21,68000,RENT,4,EDUCATION,B,18000,10.65,0,0.26,N,2
24,70000,RENT,1,HOMEIMPROVEMENT,B,18000,9.88,0,0.26,N,2
25,54400,RENT,10,MEDICAL,E,18000,16,1,0.28,Y,2
25,70200,RENT,9,EDUCATION,E,18000,16.45,0,0.26,N,2
25,65000,RENT,3,PERSONAL,D,18000,15.33,1,0.28,N,4
26,71820,RENT,10,DEBTCONSOLIDATION,B,18000,11.83,0,0.25,N,2
24,66000,RENT,2,PERSONAL,D,18000,14.54,1,0.27,Y,4
24,72000,RENT,4,VENTURE,A,18000,7.88,0,0.25,N,2
24,24000,OWN,3,EDUCATION,C,3000,13.98,0,0.13,N,2
23,73500,RENT,7,EDUCATION,A,18000,,0,0.24,N,2
25,24000,MORTGAGE,0,VENTURE,D,1200,15.21,0,0.05,Y,4
23,75000,RENT,7,EDUCATION,C,18000,12.73,0,0.24,Y,4
25,24000,MORTGAGE,2,PERSONAL,D,3500,15.58,1,0.15,Y,2
23,75576,RENT,7,EDUCATION,B,18000,9.88,0,0.24,N,3
21,24000,OWN,2,MEDICAL,B,7000,11.86,0,0.29,N,2
26,78000,RENT,6,EDUCATION,C,18000,13.49,0,0.23,N,2
21,80000,RENT,6,VENTURE,A,18000,7.9,0,0.23,N,2
23,80000,RENT,5,VENTURE,A,18000,8.49,0,0.23,N,3
22,80000,RENT,1,EDUCATION,B,18000,10.99,0,0.23,N,4
26,80171,RENT,3,HOMEIMPROVEMENT,C,18000,13.85,0,0.22,N,3
23,81000,RENT,7,MEDICAL,C,18000,13.98,0,0.22,N,2
23,24000,MORTGAGE,1,DEBTCONSOLIDATION,D,2800,16.07,1,0.12,N,3
23,82000,RENT,7,MEDICAL,A,18000,,0,0.22,N,2
23,76500,RENT,3,DEBTCONSOLIDATION,B,18000,10.65,1,0.24,N,4
24,24000,MORTGAGE,4,EDUCATION,D,8500,15.7,0,0.35,N,2
26,24000,MORTGAGE,5,PERSONAL,C,2100,13.11,0,0.09,N,3
22,82570,RENT,6,VENTURE,C,18000,15.27,0,0.22,N,2
26,24000,MORTGAGE,1,HOMEIMPROVEMENT,B,6000,10.99,0,0.25,N,4
25,84000,RENT,5,HOMEIMPROVEMENT,B,18000,9.88,0,0.21,N,3
22,24000,MORTGAGE,6,MEDICAL,A,2500,7.14,0,0.1,N,2
25,85000,RENT,0,EDUCATION,B,18000,11.71,0,0.21,N,4
26,86000,RENT,10,VENTURE,A,18000,8.49,0,0.21,N,2
23,87000,RENT,2,EDUCATION,B,18000,11.89,0,0.21,N,2
23,88000,RENT,1,EDUCATION,C,18000,13.16,0,0.2,N,4
23,90000,RENT,4,PERSONAL,B,18000,8.88,0,0.2,N,4
24,95000,RENT,3,DEBTCONSOLIDATION,A,18000,8.49,0,0.19,N,4
26,95000,RENT,9,HOMEIMPROVEMENT,D,18000,15.31,0,0.19,N,3
24,102000,RENT,8,EDUCATION,C,18000,12.53,0,0.18,Y,3
24,110000,RENT,4,DEBTCONSOLIDATION,B,18000,12.18,0,0.16,N,4
23,87550,RENT,7,MEDICAL,A,18000,7.51,1,0.17,N,3
26,116004,RENT,6,VENTURE,B,18000,11.83,0,0.16,N,4
24,121000,RENT,8,PERSONAL,F,18000,18.3,0,0.15,N,3
22,125000,RENT,3,MEDICAL,C,18000,14.79,0,0.14,Y,3
25,24000,OWN,4,MEDICAL,B,5000,10.95,0,0.21,N,3
22,144500,RENT,5,DEBTCONSOLIDATION,C,18000,13.72,0,0.12,N,3
24,155000,RENT,8,EDUCATION,B,18000,10.62,0,0.12,N,4
22,24000,OWN,6,MEDICAL,B,5000,12.21,0,0.21,N,3
21,75000,RENT,3,EDUCATION,C,17950,10.91,0,0.24,N,3
26,130000,RENT,2,PERSONAL,A,17950,,0,0.14,N,2
25,24000,OWN,0,MEDICAL,A,7000,9.63,0,0.29,N,3
23,62050,RENT,1,MEDICAL,E,17800,16.35,1,0.24,Y,3
23,24000,OWN,1,EDUCATION,B,1500,12.21,0,0.06,N,2
22,48000,RENT,0,DEBTCONSOLIDATION,C,17750,13.49,1,0.37,N,4
22,65000,RENT,6,DEBTCONSOLIDATION,B,17700,11.49,0,0.27,N,2
26,24000,MORTGAGE,5,PERSONAL,B,8000,9.76,0,0.33,N,3
24,24000,MORTGAGE,3,EDUCATION,C,8000,11.34,0,0.33,Y,4
22,24000,MORTGAGE,2,EDUCATION,D,3975,13.87,0,0.17,N,3
23,45000,RENT,1,DEBTCONSOLIDATION,A,17625,8.9,1,0.39,N,4
25,59256,RENT,,MEDICAL,C,17600,12.99,0,0.3,N,2
22,65500,RENT,4,EDUCATION,B,17600,10.74,0,0.27,N,2
24,70000,RENT,1,HOMEIMPROVEMENT,B,17600,10.62,0,0.25,N,2
24,71480,RENT,8,HOMEIMPROVEMENT,F,17600,,0,0.25,N,4
21,24000,MORTGAGE,2,EDUCATION,B,5000,8.7,0,0.21,N,2
23,24091,MORTGAGE,5,PERSONAL,C,3500,12.99,0,0.15,Y,2
24,72250,RENT,5,MEDICAL,E,17600,17.19,1,0.21,Y,4
25,32400,RENT,1,HOMEIMPROVEMENT,D,17500,15.95,1,0.54,Y,3
23,36000,RENT,2,VENTURE,C,17500,14.22,1,0.49,N,4
21,37232,RENT,3,MEDICAL,B,17500,12.53,1,0.47,N,2
21,24300,OWN,3,MEDICAL,B,4500,11.83,0,0.19,N,4
21,24396,MORTGAGE,2,VENTURE,D,4000,15.05,0,0.16,N,4
24,40800,RENT,6,MEDICAL,B,17500,10.62,1,0.43,N,4
22,24449,OWN,2,VENTURE,B,1800,11.89,0,0.07,N,4
24,24468,OWN,,HOMEIMPROVEMENT,B,5000,10.75,0,0.2,N,3
25,44000,RENT,6,EDUCATION,B,17500,12.53,1,0.4,N,4
23,47500,RENT,5,MEDICAL,C,17500,13.61,1,0.37,N,4
22,49176,RENT,7,MEDICAL,C,17500,13.85,1,0.36,N,2
23,49270,RENT,7,DEBTCONSOLIDATION,C,17500,13.85,1,0.36,N,4
23,53352,RENT,3,VENTURE,A,17500,6.54,1,0.33,N,2
24,54996,RENT,7,EDUCATION,E,17500,17.19,1,0.32,N,3
24,58000,RENT,5,EDUCATION,C,17500,13.49,0,0.3,Y,4
23,59000,RENT,1,EDUCATION,B,17500,9.25,0,0.3,N,4
26,60000,RENT,10,VENTURE,A,17500,6.54,0,0.29,N,4
26,75000,RENT,4,PERSONAL,A,17500,7.9,0,0.23,N,2
22,24900,MORTGAGE,1,MEDICAL,C,5500,13.16,1,0.22,N,2
25,95950,RENT,2,HOMEIMPROVEMENT,B,17500,11.71,0,0.18,N,2
21,24960,MORTGAGE,0,PERSONAL,C,2000,13.99,0,0.08,Y,3
23,40000,RENT,2,EDUCATION,B,17475,9.91,1,0.44,N,2
21,45408,RENT,3,DEBTCONSOLIDATION,B,17475,9.91,1,0.38,N,2
23,24996,MORTGAGE,4,EDUCATION,B,5000,12.69,0,0.2,N,2
22,58000,RENT,0,EDUCATION,A,17475,7.51,0,0.3,N,3
24,82000,RENT,7,PERSONAL,B,17400,11.99,0,0.21,N,4
24,96000,RENT,1,DEBTCONSOLIDATION,B,17400,10.37,0,0.18,N,2
24,133000,RENT,5,EDUCATION,B,17400,11.71,0,0.13,N,4
24,95000,RENT,8,PERSONAL,D,17200,17.58,0,0.18,N,3
23,35000,RENT,6,EDUCATION,B,17000,10.37,1,0.49,N,2
26,29400,RENT,1,HOMEIMPROVEMENT,C,17000,12.99,1,0.58,Y,2
21,24996,OWN,3,EDUCATION,D,7000,15.58,0,0.28,N,2
22,40000,RENT,1,DEBTCONSOLIDATION,B,17000,10.65,1,0.42,N,4
22,41400,RENT,2,MEDICAL,C,17000,12.87,1,0.41,N,3
22,42000,RENT,5,DEBTCONSOLIDATION,A,17000,7.66,1,0.4,N,4
24,43275,RENT,4,MEDICAL,C,17000,13.47,1,0.39,N,3
24,45792,RENT,3,DEBTCONSOLIDATION,B,17000,10.38,1,0.37,N,2
23,47000,RENT,8,DEBTCONSOLIDATION,B,17000,9.99,1,0.36,N,4
25,49896,RENT,7,EDUCATION,E,17000,16.82,1,0.34,N,3
24,50000,RENT,3,PERSONAL,C,17000,13.79,1,0.34,N,3
23,24996,OWN,1,PERSONAL,D,4575,,0,0.18,Y,2
23,24996,OWN,1,EDUCATION,B,8000,11.26,0,0.32,N,2
23,51000,RENT,7,PERSONAL,A,17000,8.49,1,0.33,N,4
24,45000,RENT,,EDUCATION,D,17000,14.96,1,0.38,Y,2
25,52000,RENT,9,MEDICAL,C,17000,12.98,1,0.33,Y,2
21,24996,OWN,5,MEDICAL,C,6500,11.34,0,0.26,Y,4
23,52000,RENT,3,DEBTCONSOLIDATION,B,17000,11.58,1,0.33,N,4
24,52500,RENT,3,HOMEIMPROVEMENT,B,17000,,1,0.32,N,3
23,54660,RENT,6,MEDICAL,B,17000,9.88,1,0.31,N,4
26,25000,OWN,0,VENTURE,C,7400,,0,0.3,N,2
24,55782,RENT,3,DEBTCONSOLIDATION,A,17000,7.51,0,0.3,N,3
23,53000,RENT,8,PERSONAL,B,17000,10.25,1,0.32,N,4
22,25000,OWN,1,MEDICAL,C,2400,14.27,0,0.1,Y,2
23,60000,RENT,3,PERSONAL,B,17000,11.11,0,0.28,N,2
25,60000,RENT,3,PERSONAL,A,17000,6.91,0,0.28,N,2
23,25000,OWN,,MEDICAL,C,4000,15.27,0,0.16,Y,4
25,62000,RENT,3,VENTURE,A,17000,5.99,0,0.27,N,3
26,65000,RENT,0,VENTURE,C,17000,13.47,0,0.26,N,2
23,70000,RENT,1,PERSONAL,B,17000,8.88,0,0.24,N,3
25,72000,RENT,,MEDICAL,A,17000,7.88,0,0.24,N,3
24,75000,RENT,0,DEBTCONSOLIDATION,B,17000,12.53,0,0.23,N,2
24,75000,RENT,8,EDUCATION,B,17000,9.33,0,0.23,N,3
23,78000,RENT,5,MEDICAL,B,17000,10.99,0,0.22,N,3
21,25000,MORTGAGE,2,VENTURE,B,3600,9.91,0,0.14,N,4
23,85500,RENT,1,EDUCATION,C,17000,13.11,0,0.2,Y,2
22,89004,RENT,7,DEBTCONSOLIDATION,A,17000,9.63,0,0.19,N,4
26,66300,RENT,0,MEDICAL,D,17000,16.77,1,0.22,Y,3
23,90000,RENT,7,EDUCATION,B,17000,10.59,0,0.19,N,3
26,95000,RENT,10,EDUCATION,B,17000,11.49,0,0.18,N,3
22,96000,RENT,6,PERSONAL,B,17000,11.48,0,0.18,N,2
25,114000,RENT,3,EDUCATION,B,17000,10.37,0,0.15,N,3
26,175000,RENT,2,VENTURE,B,17000,9.88,0,0.1,N,3
21,49000,RENT,2,PERSONAL,D,16950,18.25,1,0.35,Y,4
24,72000,RENT,0,DEBTCONSOLIDATION,A,16875,6.54,0,0.23,N,4
26,25000,MORTGAGE,10,MEDICAL,A,7000,6.99,0,0.28,N,2
23,25000,OWN,5,MEDICAL,A,7200,8.49,0,0.29,N,2
22,34819,RENT,2,PERSONAL,B,16800,10.99,1,0.48,N,4
22,50000,RENT,1,MEDICAL,B,16800,12.53,1,0.34,N,3
22,25000,MORTGAGE,4,EDUCATION,A,1800,8.49,0,0.07,N,2
24,55000,RENT,8,MEDICAL,B,16800,,1,0.31,N,4
22,60000,RENT,2,MEDICAL,C,16800,14.65,0,0.28,Y,4
24,60000,RENT,8,EDUCATION,A,16800,6.54,0,0.28,N,2
23,60000,RENT,0,MEDICAL,C,16800,13.85,0,0.28,Y,2
26,54000,RENT,3,MEDICAL,D,16800,12.67,1,0.31,Y,3
22,25000,MORTGAGE,0,HOMEIMPROVEMENT,B,3000,9.99,1,0.12,N,3
22,66000,RENT,6,MEDICAL,C,16800,13.49,0,0.25,Y,3
22,58650,RENT,6,MEDICAL,D,16800,16.77,1,0.24,N,2
24,74000,RENT,1,HOMEIMPROVEMENT,D,16800,15.65,1,0.23,Y,3
26,97000,RENT,11,HOMEIMPROVEMENT,B,16800,12.42,0,0.17,N,3
26,97000,RENT,4,MEDICAL,A,16800,6.17,0,0.17,N,4
23,103000,RENT,4,DEBTCONSOLIDATION,C,16800,13.11,0,0.16,N,4
24,125000,RENT,8,VENTURE,B,16800,12.42,0,0.13,N,4
25,25000,OWN,5,HOMEIMPROVEMENT,C,2000,14.17,0,0.08,N,3
23,36000,RENT,2,MEDICAL,D,16750,15.28,1,0.47,Y,4
22,44500,RENT,1,DEBTCONSOLIDATION,B,16750,10.75,1,0.38,N,4
26,45000,RENT,10,MEDICAL,C,16750,12.41,1,0.37,N,3
23,46272,RENT,7,DEBTCONSOLIDATION,B,16750,11.99,1,0.36,N,3
24,25000,MORTGAGE,1,MEDICAL,B,4000,11.11,0,0.16,N,2
26,42000,RENT,0,HOMEIMPROVEMENT,D,16750,17.58,1,0.4,N,3
22,50496,RENT,6,MEDICAL,C,16750,13.11,1,0.33,Y,4
23,54000,RENT,7,VENTURE,C,16750,,1,0.31,N,4
24,54000,RENT,0,PERSONAL,G,16750,20.11,1,0.31,Y,2
23,54996,RENT,4,EDUCATION,B,16700,10.37,0,0.3,N,3
25,59160,RENT,0,HOMEIMPROVEMENT,E,16600,14.18,1,0.28,N,4
26,70000,RENT,9,MEDICAL,C,16525,13.92,0,0.24,Y,2
25,98400,RENT,4,PERSONAL,D,16525,15.28,0,0.17,Y,3
22,40428,RENT,4,MEDICAL,B,16500,10.75,1,0.41,N,2
26,47000,RENT,0,MEDICAL,A,16500,,1,0.35,N,4
23,47000,RENT,5,VENTURE,B,16500,10.62,1,0.35,N,3
22,48000,RENT,6,MEDICAL,A,16500,8.9,1,0.34,N,4
25,25000,OWN,2,VENTURE,A,1500,6.76,0,0.06,N,4
25,56000,RENT,0,HOMEIMPROVEMENT,D,16500,12.8,1,0.29,Y,3
25,57504,RENT,2,HOMEIMPROVEMENT,A,16500,9.32,1,0.29,N,3
24,25000,MORTGAGE,3,VENTURE,A,9000,7.14,0,0.36,N,4
26,25000,OWN,7,VENTURE,A,11500,7.88,0,0.46,N,3
25,25000,OWN,3,EDUCATION,A,3000,6.76,0,0.12,N,2
26,83300,RENT,2,MEDICAL,D,16500,16.77,1,0.17,N,4
24,45000,RENT,1,PERSONAL,C,16425,13.49,1,0.36,Y,2
24,61000,RENT,3,HOMEIMPROVEMENT,B,16400,10.99,0,0.27,N,4
22,27600,RENT,2,DEBTCONSOLIDATION,B,16300,,1,0.59,N,4
26,47000,RENT,5,PERSONAL,B,16250,12.42,1,0.35,N,4
21,25000,MORTGAGE,6,PERSONAL,A,1000,7.51,0,0.04,N,3
22,54000,RENT,3,DEBTCONSOLIDATION,B,16075,10.37,0,0.3,N,3
25,39000,RENT,1,HOMEIMPROVEMENT,E,16050,17.14,1,0.41,Y,3
23,30000,RENT,1,EDUCATION,C,16000,13.23,1,0.53,N,2
22,33000,RENT,1,VENTURE,B,16000,10.99,1,0.48,N,2
26,35000,RENT,2,EDUCATION,A,16000,6.03,1,0.46,N,4
26,25000,MORTGAGE,0,MEDICAL,D,6250,15.31,1,0.25,N,4
24,35000,RENT,2,MEDICAL,B,16000,11.71,1,0.46,N,3
24,35500,RENT,3,PERSONAL,A,16000,,1,0.45,N,4
23,25000,MORTGAGE,0,PERSONAL,C,4750,13.57,0,0.19,N,2
21,25000,MORTGAGE,4,VENTURE,C,2800,,0,0.11,Y,3
22,36900,RENT,5,VENTURE,A,16000,7.9,1,0.43,N,2
25,38000,RENT,8,MEDICAL,C,16000,12.87,1,0.42,Y,3
25,39000,RENT,6,VENTURE,D,16000,15.65,1,0.41,Y,3
24,39996,RENT,1,MEDICAL,B,16000,10.71,1,0.4,N,2
22,25000,OWN,1,VENTURE,B,6000,11.89,0,0.24,N,2
25,25000,OWN,1,VENTURE,C,4800,12.53,0,0.19,N,3
25,40000,RENT,3,EDUCATION,B,16000,11.71,1,0.4,N,4
23,40000,RENT,3,EDUCATION,C,16000,12.99,1,0.4,Y,2
22,40000,RENT,1,EDUCATION,B,16000,8.88,1,0.4,N,3
21,40000,RENT,0,EDUCATION,B,16000,11.83,1,0.4,N,4
22,34000,RENT,0,EDUCATION,D,16000,13.24,1,0.47,N,3
21,41900,RENT,2,VENTURE,C,16000,12.84,1,0.38,Y,2
24,42494,RENT,7,VENTURE,B,16000,11.71,1,0.38,N,3
23,25000,MORTGAGE,4,MEDICAL,A,5000,9.32,0,0.2,N,2
22,25000,OWN,1,PERSONAL,A,11100,9.63,0,0.44,N,3
24,42856,RENT,8,DEBTCONSOLIDATION,A,16000,8.9,1,0.37,N,3
25,43000,RENT,3,VENTURE,B,16000,11.49,1,0.37,N,2
25,25000,OWN,7,MEDICAL,B,1525,10.95,0,0.06,N,2
24,25000,MORTGAGE,3,DEBTCONSOLIDATION,A,7000,9.32,0,0.28,N,2
23,44000,RENT,7,EDUCATION,A,16000,8.49,1,0.36,N,4
24,44000,RENT,8,MEDICAL,A,16000,7.49,1,0.36,N,2
26,25000,MORTGAGE,1,VENTURE,C,12000,12.09,1,0.48,N,2
24,25000,MORTGAGE,1,MEDICAL,A,6500,,0,0.26,N,4
22,38400,RENT,4,VENTURE,C,16000,11.54,1,0.42,Y,3
24,25000,MORTGAGE,2,DEBTCONSOLIDATION,A,10000,8,0,0.4,N,2
24,39000,RENT,2,DEBTCONSOLIDATION,E,16000,19.91,1,0.41,Y,3
22,45000,RENT,6,DEBTCONSOLIDATION,B,16000,10.59,1,0.36,N,4
21,25000,OWN,0,MEDICAL,B,8800,9.33,0,0.35,N,3
24,39000,RENT,2,HOMEIMPROVEMENT,C,16000,13.06,1,0.41,N,2
24,25040,MORTGAGE,1,VENTURE,A,5000,5.79,0,0.2,N,4
22,25062,OWN,4,DEBTCONSOLIDATION,D,4000,16.49,0,0.16,Y,2
23,25100,OWN,7,EDUCATION,D,10800,14.59,0,0.43,Y,3
26,25104,OWN,0,DEBTCONSOLIDATION,D,5400,16.49,0,0.22,N,2
23,39000,RENT,1,PERSONAL,B,16000,11.36,1,0.41,N,3
25,39000,RENT,9,MEDICAL,D,16000,14.11,1,0.41,Y,2
22,25200,MORTGAGE,2,PERSONAL,A,7000,6.03,0,0.28,N,4
23,48000,RENT,2,EDUCATION,B,16000,10,1,0.33,N,4
22,42000,RENT,0,VENTURE,D,16000,16,1,0.38,N,3
25,50000,RENT,3,VENTURE,D,16000,17.58,1,0.32,N,4
24,25200,OWN,1,MEDICAL,C,3200,15.23,0,0.13,Y,2
23,25200,MORTGAGE,,MEDICAL,A,1200,7.49,0,0.05,N,3
24,50000,RENT,6,HOMEIMPROVEMENT,C,16000,13.99,1,0.32,Y,2
25,25200,OWN,5,HOMEIMPROVEMENT,D,1200,15.99,0,0.05,Y,3
24,50000,RENT,8,VENTURE,B,16000,10.62,1,0.32,N,2
22,44000,RENT,1,EDUCATION,E,16000,16.35,1,0.36,N,3
24,51000,RENT,8,MEDICAL,C,16000,13.85,1,0.31,N,3
23,45000,RENT,7,MEDICAL,E,16000,16.45,1,0.36,Y,4
21,52000,RENT,5,PERSONAL,D,16000,15.7,1,0.31,N,4
22,53000,RENT,2,EDUCATION,A,16000,7.9,0,0.3,N,4
24,54000,RENT,6,DEBTCONSOLIDATION,A,16000,,0,0.3,N,4
22,25200,MORTGAGE,7,MEDICAL,C,4000,12.73,1,0.16,N,2
25,49000,RENT,2,DEBTCONSOLIDATION,C,16000,,1,0.33,N,4
22,55000,RENT,6,VENTURE,C,16000,,0,0.29,Y,3
21,55000,RENT,5,DEBTCONSOLIDATION,A,16000,8.94,0,0.29,N,2
21,25200,MORTGAGE,0,PERSONAL,C,6500,14.26,1,0.26,Y,2
22,25200,MORTGAGE,1,PERSONAL,C,7000,13.92,0,0.28,N,3
25,58000,RENT,9,PERSONAL,A,16000,,0,0.28,N,2
25,52000,RENT,9,EDUCATION,C,16000,13.98,1,0.31,N,3
23,25200,OWN,3,EDUCATION,B,1000,11.48,0,0.04,N,4
22,25200,MORTGAGE,0,MEDICAL,B,1000,11.48,1,0.04,N,3
22,52500,RENT,1,MEDICAL,B,16000,12.69,1,0.3,N,3
26,60000,RENT,10,DEBTCONSOLIDATION,A,16000,7.49,0,0.27,N,2
24,54000,RENT,0,HOMEIMPROVEMENT,D,16000,15.65,1,0.3,N,4
26,54000,RENT,2,VENTURE,D,16000,14.83,1,0.3,N,2
24,25344,MORTGAGE,5,MEDICAL,D,4000,16.49,1,0.16,N,3
22,61000,RENT,3,VENTURE,C,16000,,0,0.26,Y,2
23,62000,RENT,7,VENTURE,A,16000,7.49,0,0.26,N,2
